Zmienna A;Zmienna B;Zmienna C;Zmienna D;Zmienna E;Zmienna F;Zmienna G;Case ID
182;84.7;57;1;98.54000092;114.4000015;0;5
184.6;83.6;64;1;91.58000183;112.6600037;0;5
179.4;72.6;60;1;89.83999634;109.1800003;0;5
178.1;72.6;49;1;81.13999939;93.51999664;0;5
127.4;62.7;52;1;75.91999817;91.77999878;0;5
119.6;67.1;40;1;77.66000366;86.55999756;0;5
136.5;63.8;43;1;79.40000153;93.51999664;0;5
179.4;75.9;59;1;100.2799988;114.4000015;0;5
167.7;79.2;69;1;84.62000275;100.4800034;0;5
158.6;68.2;28;1;81.13999939;97;0;5
140.4;60.5;56;1;79.40000153;91.77999878;0;5
150.8;66;37;1;79.40000153;93.51999664;0;5
94.9;60.5;31;0;70.69999695;84.81999969;0;5
115.7;63.8;53;1;70.69999695;90.04000092;0;5
162.5;63.8;27;1;81.13999939;93.51999664;0;5
133.9;66;40;1;75.91999817;95.26000214;0;5
105.3;60.5;66;1;72.44000244;86.55999756;0;6
174.2;82.5;59;1;89.83999634;107.4400024;0;6
102.7;61.6;42;1;72.44000244;83.08000183;0;6
105.3;60.5;53;1;68.95999908;86.55999756;1;6
143;61.6;34;1;79.40000153;97;0;6
174.2;72.6;57;1;82.87999725;97;0;6
127.4;62.7;34;1;75.91999817;91.77999878;0;6
133.9;59.4;54;1;77.66000366;93.51999664;0;6
152.1;60.5;34;1;79.40000153;95.26000214;0;6
169;70.4;29;1;79.40000153;95.26000214;0;6
167.7;75.9;58;1;79.40000153;97;0;6
161.2;71.5;30;1;81.13999939;95.26000214;0;6
179.4;72.6;58;1;93.31999969;105.6999969;0;7
94.9;60.5;31;0;70.69999695;86.55999756;0;7
124.8;66;46;1;74.18000031;91.77999878;0;7
179.4;72.6;60;1;91.58000183;107.4400024;0;7
128.7;69.3;53;1;77.66000366;90.04000092;0;7
119.6;67.1;45;1;77.66000366;86.55999756;0;7
159.9;77;53;1;81.13999939;98.73999786;0;7
102.7;61.6;49;1;70.69999695;86.55999756;0;7
118.3;63.8;52;1;72.44000244;90.04000092;0;7
124.8;66;47;1;72.44000244;86.55999756;0;7
102.7;61.6;49;1;70.69999695;86.55999756;0;7
136.5;61.6;47;1;77.66000366;90.04000092;0;7
179.4;83.6;61;1;103.7599945;117.8799973;0;7
187.2;80.3;59;1;82.87999725;97;0;7
97.5;62.7;33;0;67.22000122;84.81999969;1;7
159.9;66;28;1;79.40000153;95.26000214;0;7
148.2;60.5;30;1;79.40000153;95.26000214;0;7
156;62.7;30;1;79.40000153;95.26000214;0;7
178.1;83.6;63;1;82.87999725;98.73999786;0;7
178.1;78.1;55;1;93.31999969;114.4000015;0;7
150.8;66;37;1;79.40000153;91.77999878;0;7
105.3;60.5;53;1;70.69999695;86.55999756;0;7
136.5;63.8;63;1;77.66000366;95.26000214;0;7
154.7;61.6;31;1;79.40000153;97;0;7
162.5;70.4;56;1;79.40000153;95.26000214;0;7
122.2;61.6;49;1;67.22000122;84.81999969;1;8
191.1;86.9;70;1;82.87999725;102.2200012;0;8
122.2;61.6;34;1;70.69999695;84.81999969;0;8
169;74.8;59;1;102.0199966;114.4000015;0;8
162.5;70.4;43;1;79.40000153;97;0;8
91;63.8;34;0;68.95999908;84.81999969;1;8
183.3;78.1;52;1;77.66000366;95.26000214;0;8
159.9;66;32;1;81.13999939;95.26000214;0;8
165.1;77;59;1;93.31999969;110.9199982;0;8
163.8;73.7;62;1;79.40000153;95.26000214;0;8
133.9;66;34;1;77.66000366;91.77999878;0;8
124.8;66;39;1;72.44000244;90.04000092;0;8
166.4;72.6;68;1;82.87999725;97;0;8
127.4;62.7;52;1;77.66000366;91.77999878;0;8
109.2;63.8;58;1;70.69999695;88.30000305;0;8
167.7;75.9;58;1;79.40000153;95.26000214;0;8
143;61.6;33;1;79.40000153;95.26000214;0;8
180.7;79.2;47;1;86.36000061;103.9599991;0;9
182;84.7;70;1;96.80000305;114.4000015;0;9
128.7;69.3;46;1;75.91999817;91.77999878;0;9
109.2;63.8;51;1;70.69999695;88.30000305;0;9
170.3;71.5;35;1;79.40000153;97;0;9
170.3;75.9;49;1;79.40000153;95.26000214;0;9
178.1;78.1;55;1;93.31999969;105.6999969;0;9
143;62.7;55;1;77.66000366;93.51999664;0;9
124.8;66;45;1;72.44000244;91.77999878;0;9
176.8;82.5;59;1;79.40000153;97;0;9
159.9;64.9;31;1;79.40000153;95.26000214;0;9
128.7;64.9;40;1;79.40000153;93.51999664;0;9
109.2;59.4;42;1;68.95999908;84.81999969;1;9
;;;0;;;1;9
124,8;66;47;1;74,18000031;90,04000092;0;9
179,4;74,8;60;1;88,09999847;102,2200012;0;10
175,5;80,3;71;1;93,31999969;109,1800003;0;10
179,4;78,1;56;1;96,80000305;112,6600037;0;10
136,5;61,6;46;1;77,66000366;93,51999664;0;10
154,7;61,6;31;1;77,66000366;97;0;10
109,2;59,4;49;1;68,95999908;86,55999756;1;10
162,5;63,8;27;1;81,13999939;93,51999664;0;10
143;62,7;54;1;77,66000366;93,51999664;0;10
166,4;72,6;68;1;86,36000061;100,4800034;0;10
170,3;75,9;49;1;81,13999939;95,26000214;0;10
191,1;84,7;71;1;93,31999969;109,1800003;0;10
185,9;86,9;60;1;82,87999725;100,4800034;0;10
178,1;78,1;60;1;98,54000092;114,4000015;0;10
162,5;68,2;34;1;79,40000153;97;0;11
166,4;75,9;57;1;88,09999847;100,4800034;0;11
110,5;62,7;55;1;70,69999695;86,55999756;0;11
156;62,7;33;1;79,40000153;95,26000214;0;11
175,5;85,8;73;1;89,83999634;109,1800003;0;11
176,8;83,6;58;1;100,2799988;114,4000015;0;11
179,4;75,9;66;1;98,54000092;119,6200027;0;11
170,3;78,1;56;1;75,91999817;97;0;11
159,9;64,9;36;1;77,66000366;93,51999664;0;11
152,1;60,5;34;1;79,40000153;95,26000214;0;11
191,1;86,9;63;1;82,87999725;102,2200012;0;11
97,5;60,5;33;0;67,22000122;84,81999969;1;11
188,5;80,3;56;1;84,62000275;102,2200012;0;11
169;70,4;32;1;77,66000366;97;0;11
187,2;80,3;59;1;86,36000061;97;0;11
174,2;72,6;75;1;81,13999939;100,4800034;0;11
133,9;59,4;51;1;79,40000153;91,77999878;0;11
128,7;64,9;40;1;75,91999817;93,51999664;0;11
162,5;68,2;41;1;79,40000153;97;0;11
159,9;77;53;1;79,40000153;98,73999786;0;11
176,8;83,6;73;1;100,2799988;112,6600037;0;11
174,2;82,5;50;1;88,09999847;102,2200012;0;11
100,1;61,6;30;1;67,22000122;83,08000183;1;11
178,1;77;55;1;81,13999939;95,26000214;0;11
176,8;81,4;57;1;84,62000275;100,4800034;0;11
159,9;77;64;1;81,13999939;97;0;12
188,5;80,3;56;1;84,62000275;100,4800034;0;12
122,2;61,6;49;1;68,95999908;84,81999969;1;12
109,2;59,4;44;1;70,69999695;83,08000183;0;12
170,3;78,1;56;1;77,66000366;93,51999664;0;12
119,6;67,1;40;1;72,44000244;90,04000092;0;12
163,8;73,7;42;1;79,40000153;95,26000214;0;12
120,9;68,2;45;1;75,91999817;86,55999756;0;12
162,5;70,4;35;1;79,40000153;95,26000214;0;12
170,3;78,1;53;1;79,40000153;93,51999664;0;12
158,6;60,5;35;1;79,40000153;97;0;12
178,1;83,6;55;1;82,87999725;95,26000214;0;12
167,7;79,2;57;1;88,09999847;100,4800034;0;12
133,9;66;40;1;75,91999817;91,77999878;0;12
185,9;86,9;52;1;84,62000275;100,4800034;0;12
128,7;64,9;34;1;74,18000031;95,26000214;0;12
179,4;78,1;59;1;98,54000092;114,4000015;0;12
166,4;75,9;57;1;88,09999847;105,6999969;0;12
165,1;77;59;1;95,05999756;112,6600037;0;12
184,6;83,6;64;1;93,31999969;109,1800003;0;12
159,9;66;32;1;81,13999939;95,26000214;0;12
171,6;73,7;45;1;82,87999725;95,26000214;0;12
118,3;63,8;43;1;74,18000031;88,30000305;0;12
170,3;75,9;56;1;79,40000153;97;0;12
100,1;61,6;30;1;68,95999908;84,81999969;1;12
143;61,6;33;1;81,13999939;95,26000214;0;12
179,4;83,6;61;1;100,2799988;114,4000015;0;12
97,5;60,5;28;0;68,95999908;84,81999969;1;13
136,5;61,6;52;1;77,66000366;91,77999878;0;13
174,2;82,5;50;1;91,58000183;103,9599991;0;13
110,5;62,7;51;1;72,44000244;86,55999756;0;13
185,9;80,3;63;1;84,62000275;97;0;13
114,4;63,8;63;1;72,44000244;88,30000305;0;13
185,9;80,3;63;1;84,62000275;102,2200012;0;13
179,4;75,9;66;1;102,0199966;114,4000015;0;13
110,5;62,7;55;1;72,44000244;86,55999756;0;13
152,1;62,7;31;1;79,40000153;97;0;13
170,3;79,2;54;1;81,13999939;98,73999786;0;13
128,7;69,3;53;1;74,18000031;90,04000092;0;13
175,5;85,8;59;1;89,83999634;109,1800003;0;13
109,2;63,8;58;1;72,44000244;88,30000305;0;13
150,8;66;44;1;77,66000366;93,51999664;0;13
100,1;61,6;31;1;68,95999908;84,81999969;1;14
191,1;84,7;66;1;91,58000183;107,4400024;0;14
133,9;59,4;51;1;75,91999817;91,77999878;0;14
156;62,7;30;1;79,40000153;95,26000214;0;14
159,9;64,9;30;1;77,66000366;95,26000214;0;14
162,5;63,8;27;1;81,13999939;95,26000214;0;14
109,2;59,4;42;1;68,95999908;84,81999969;1;14
120,9;68,2;37;1;72,44000244;88,30000305;0;14
115,7;63,8;53;1;74,18000031;86,55999756;0;14
161,2;71,5;30;1;79,40000153;97;0;14
179,4;72,6;67;1;89,83999634;105,6999969;0;14
170,3;79,2;52;1;79,40000153;97;0;14
109,2;59,4;44;1;70,69999695;84,81999969;0;14
171,6;69,3;42;1;79,40000153;93,51999664;0;14
176,8;83,6;57;1;100,2799988;116,1399994;0;14
176,8;82,5;58;1;82,87999725;100,4800034;0;14
167,7;75,9;48;1;77,66000366;93,51999664;0;14
145,6;61,6;54;1;79,40000153;95,26000214;0;15
178,1;72,6;49;1;79,40000153;95,26000214;0;15
128,7;64,9;34;1;77,66000366;91,77999878;0;15
105,3;63,8;34;1;68,95999908;84,81999969;1;15
128,7;64,9;42;1;75,91999817;90,04000092;0;15
180,7;77;53;1;91,58000183;105,6999969;0;15
170,3;79,2;52;1;82,87999725;95,26000214;0;15
180,7;77;66;1;89,83999634;105,6999969;0;15
136,5;63,8;58;1;77,66000366;93,51999664;0;15
170,3;71,5;41;1;81,13999939;95,26000214;0;15
163,8;73,7;49;1;77,66000366;95,26000214;0;15
179,4;78,1;56;1;93,31999969;109,1800003;0;15
143;62,7;55;1;77,66000366;93,51999664;0;15
126,1;64,9;38;1;72,44000244;90,04000092;0;15
171,6;73,7;42;1;79,40000153;95,26000214;0;15
166,4;75,9;54;1;84,62000275;100,4800034;0;15
179,4;83,6;57;1;100,2799988;117,8799973;0;15
154,7;61,6;33;1;79,40000153;93,51999664;0;15
114,4;63,8;63;1;72,44000244;88,30000305;0;15
184,6;83,6;62;1;91,58000183;105,6999969;0;16
179,4;72,6;60;1;88,09999847;105,6999969;0;16
117;61,6;66;1;70,69999695;86,55999756;0;16
117;64,9;43;1;72,44000244;90,04000092;0;16
165,1;72,6;48;1;81,13999939;97;0;16
117;61,6;61;1;70,69999695;84,81999969;0;16
143;62,7;46;1;77,66000366;95,26000214;0;16
117;61,6;61;1;70,69999695;84,81999969;0;16
187,2;80,3;59;1;81,13999939;97;0;16
162,5;68,2;41;1;79,40000153;95,26000214;0;16
179,4;72,6;57;1;89,83999634;102,2200012;0;16
161,2;71,5;34;1;79,40000153;95,26000214;0;16
175,5;80,3;71;1;93,31999969;107,4400024;0;16
171,6;69,3;42;1;79,40000153;97;0;16
126,1;64,9;38;1;72,44000244;91,77999878;0;16
169;74,8;59;1;102,0199966;114,4000015;0;16
162,5;70,4;35;1;79,40000153;95,26000214;0;16
145,6;61,6;40;1;82,87999725;95,26000214;0;16
157,3;64,9;32;1;79,40000153;93,51999664;0;16
187,2;84,7;66;1;93,31999969;110,9199982;0;16
178,1;83,6;55;1;82,87999725;97;0;16
171,6;73,7;42;1;79,40000153;93,51999664;0;16
175,5;78,1;71;1;93,31999969;110,9199982;0;17
191,1;86,9;70;1;84,62000275;102,2200012;0;17
191,1;84,7;62;1;91,58000183;105,6999969;0;17
175,5;85,8;73;1;93,31999969;110,9199982;0;17
175,5;80,3;64;1;88,09999847;105,6999969;0;17
183,3;88;59;1;102,0199966;116,1399994;0;17
120,9;68,2;37;1;74,18000031;88,30000305;0;17
97,5;62,7;32;0;68,95999908;84,81999969;1;17
170,3;71,5;41;1;79,40000153;95,26000214;0;17
114,4;63,8;70;1;72,44000244;90,04000092;0;17
171,6;69,3;46;1;79,40000153;97;0;17
94,9;60,5;31;0;70,69999695;84,81999969;0;17
157,3;64,9;32;1;79,40000153;93,51999664;0;17
178,1;77;55;;81,13999939;97;;17
